,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
8573,1,-1.0082418204192105,2.0768565991260286,-0.5490005020320656,-0.4920141482497451,-0.3693329718647712,-0.05309994188863522,-0.4476207118399914,-0.019740933511726937,-0.31687345653932375,3.0789345184275176,-0.017618935359017967,-0.1686150272979438,-0.04749424932335588,0.7963485440799167,-0.36665193777782323,-0.1453578709089413,0.6469126624063063,-0.15876205254107223,0.5606815508149484,-0.12799337105009273,0.8419333691938944
8574,0,,-0.48149689315132027,-0.5490005020320656,-0.4920141482497451,-0.3693329718647712,-0.05538401684441533,-0.49891109299889763,-0.021323660863635994,-0.07720441382759917,-0.2884780028796892,-0.03217958832125162,4.4547396609133845,0.8076178443012597,-0.31378046617479793,2.6429629887012283,6.509891306193673,-1.486782168407113,0.4324061642605468,0.1524957606310697,-0.10952183675136924,-0.3700122549417864
8575,1,-1.0082418204192105,-0.48149689315132027,1.8214919591122574,-0.4920141482497451,-0.3693329718647712,-0.03185187857519295,-0.09380212557821759,0.009823218910724775,0.5241555718482495,2.4101495597160656,0.014160396480001246,-0.020303320957241952,-0.04672356438583378,4.3652486902463075,-0.36665193777782323,2.8365150396691865,-0.7146759132698615,0.1061374548772126,0.9239928775162531,1.798284106325001,-1.9508108951187637
8576,1,-1.0082418204192105,-0.48149689315132027,1.8214919591122574,-0.4920141482497451,-0.3693329718647712,-0.041179091094204624,-0.4734025959942084,0.15435907519826653,5.7354594641836325,-0.27715000165176945,-0.004335304627125275,0.1875666296620095,-0.04507082240269383,-0.13257081790818045,-0.36665193777782323,1.5677130562539983,-1.3226517968060802,0.18921437987777143,0.661375827071265,1.8068254935186527,-2.1341546643447686
8577,1,-1.0082418204192105,-0.48149689315132027,1.8214919591122574,-0.4920141482497451,-0.3693329718647712,-0.03275579728551651,-0.3456534715605955,0.051332483423055984,0.37465815285305054,-0.0740825687339285,-0.017849644209792036,-0.25853629807144024,-0.047828993803921145,1.3886100366461915,-0.36665193777782323,-0.22944267099679255,-1.4266780886658892,0.16407912162612887,-0.7495713798568076,1.9063938308510915,-0.8897268763698338
8578,1,-1.0082418204192105,-0.48149689315132027,-0.5490005020320656,2.0324618784994835,2.707583877364037,-0.03274173300743964,-0.4757455105549882,-0.06065294241956417,1.028461146378977,-0.28788704017071876,-0.033125169667381944,-0.6590946860624697,-0.04854584574841558,-0.31264947669185783,-0.36665193777782323,-0.0939029932432413,0.5636916289184599,-0.1429301041617909,0.018436736478017458,0.24817922916743343,0.3987322892538661
8579,1,,-0.48149689315132027,-0.5490005020320656,2.0324618784994835,-0.3693329718647712,-0.05578602907107851,-0.5105499834194228,-0.17902900323026985,-0.6685925478472452,-0.2888269870308714,-0.033151165030849444,1.3366904016246128,-0.011943305058526223,-0.31176981820512667,-0.36665193777782323,1.2677687693734543,-0.09745324823499496,-0.05936353127321304,0.7961586667323554,0.136395580700512,-0.5403631586320912
8580,1,-1.0082418204192105,2.0768565991260286,-0.5490005020320656,2.0324618784994835,-0.3693329718647712,-0.055961188924079926,-0.501481496435771,-0.09768278989819058,-0.7906561713283318,-0.2873884913833157,-0.033040684736112574,0.8578888299735281,-0.03230982761439694,-0.3062405362885309,-0.36665193777782323,0.4156257953488125,0.4943407676785866,-0.1355853858415057,-0.3566549498686385,0.12855343315032317,0.2796310218432714
8581,0,1.0425073584218478,-0.48149689315132027,-0.5490005020320656,-0.4920141482497451,-0.3693329718647712,-0.04540327715918384,-0.32707895329283887,0.04655443858710419,-0.7482684615918309,-0.28511462252369674,-0.032871714873573814,-0.5259644929692412,-0.04841305351123882,-0.3102618322278733,-0.36665193777782323,-0.2332076620455023,0.6561594439049571,-0.15631381310097717,-1.4365813938178946,0.4001513845610875,0.0031717162780747605
8582,1,-1.0082418204192105,-0.48149689315132027,-0.5490005020320656,2.0324618784994835,2.707583877364037,-0.05446674643437593,-0.4889516447277095,-0.14695637726894345,-0.24703340763151635,-0.2886409432150844,-0.033177160394316944,0.36157012765228175,-0.0430389881057593,-0.3102618322278733,-0.36665193777782323,0.6214453060116125,0.19382036897247149,-0.10996047970184417,-0.40700523502074876,-1.465018712836427,-0.11159859595395279
8583,1,-0.827910093036459,2.0768565991260286,-0.5490005020320656,-0.4920141482497451,-0.3693329718647712,0.046247116026850506,-0.10688370922317228,-0.06274333703529308,1.8525721781863385,-0.28742497056288174,-0.032335560502056625,-0.6637659209078461,-0.04854936342357258,-0.3100105012316644,-0.36665193777782323,-0.35368737560421454,-1.4012494395446022,0.15118506057496156,-2.4208655839553694,-0.2036528777299589,-0.43064562744172624
8584,1,-1.0082418204192105,-0.48149689315132027,1.8214919591122574,-0.4920141482497451,-0.3693329718647712,0.018455630132077055,0.1557086882187949,-0.10365534594313032,0.7659138666038585,5.6446368145750885,-0.007838179854370951,-0.7758755571968806,-0.048608787007474764,0.11913717479503366,-0.36665193777782323,0.4432357297060174,0.20075545509645903,-0.11142942336590118,-1.581755706555296,0.1790155976821157,2.6298960320789964
8585,1,,2.0768565991260286,-0.5490005020320656,-0.4920141482497451,-0.3693329718647712,0.23296178686548735,0.8114690058987671,-0.1506294992365814,-0.3579862898437206,-0.28467687236890377,-0.032819724146638814,-0.9650605684346263,-0.04864867493113004,-0.31930974809139373,-0.36665193777782323,0.5398704999562345,0.408808038816077,-0.12497634826776048,-0.7449746268767459,0.919249623148808,0.3792429909503136
8586,0,,-0.48149689315132027,-0.5490005020320656,-0.4920141482497451,-0.3693329718647712,0.09273502775451158,1.099439002215425,0.13515730751378524,0.25214639098977,0.10223346583545434,-0.015201366556540434,-0.8657968279703769,-0.04863447859924643,0.2846386357985948,-0.36665193777782323,0.20353129960482952,-0.05121934074174537,-0.09119064399444875,-2.16033605939588,0.2129256657291688,0.07751978017680909
